ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
173130602,12/31/2017,566,"MARIJUANA, POSSESSION",678,MISCELLANEOUS PENAL LAW,PL 2210500,V,Q,105,0,25-44,M,BLACK,1063056.0,207463.0,40.73577180300003,-73.715638255
173114463,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,Q,114,0,25-44,M,ASIAN / PACIFIC ISLANDER,1009113.0,219613.0,40.76943659700004,-73.91024071099997
173113513,12/31/2017,849,"NY STATE LAWS,UNCLASSIFIED VIOLATION",677,OTHER STATE LAWS,LOC000000V,V,K,73,1,18-24,M,BLACK,1010719.0,186857.0,40.67952470300003,-73.90457153799997
173113423,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,18,0,25-44,M,WHITE,987831.0,217446.0,40.763522977000044,-73.98707442499993
173113421,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,18,0,45-64,M,BLACK,987073.0,216078.0,40.759768442000045,-73.98981129799995
173130583,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601001,F,K,73,0,18-24,M,BLACK,1007524.0,188555.0,40.684194302000044,-73.91608474599997
173129349,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,9,0,18-24,F,WHITE HISPANIC,990592.0,202391.0,40.72219920400005,-73.97712170499993
173128438,12/31/2017,511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,DANGEROUS DRUGS,PL 2200300,M,M,25,0,25-44,M,BLACK,999724.0,230625.0,40.79968302200007,-73.94411163099994
173128437,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,23,2,25-44,M,BLACK HISPANIC,998165.0,226184.0,40.78749626900003,-73.94975170899994
173128433,12/31/2017,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1702000,M,M,17,0,18-24,M,WHITE,991195.0,212559.0,40.75010740500005,-73.97493579499996
173128430,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200002,M,K,83,0,25-44,M,WHITE HISPANIC,1003807.0,195345.0,40.70284027200007,-73.92946703799998
173128428,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,K,61,0,65+,F,WHITE,997477.0,154359.0,40.59035429500005,-73.95237721099994
173126364,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K,60,0,<18,F,BLACK,986771.0,148698.0,40.57482547700005,-73.99092660999997
173124321,12/31/2017,500,"CONTROLLED SUBSTANCE,POSSESS. 1",117,DANGEROUS DRUGS,PL 2202101,F,Q,105,0,18-24,F,WHITE,1050931.0,202071.0,40.72107185400005,-73.75944323599998
173123525,12/31/2017,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,67,0,18-24,M,BLACK,999189.0,174694.0,40.646166925000045,-73.94616811099996
173119690,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,28,0,45-64,F,BLACK,998007.0,230362.0,40.79896399800003,-73.95031371999994
173119058,12/31/2017,782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,S,121,0,18-24,M,WHITE HISPANIC,946312.0,169425.0,40.63163599600006,-74.13668294199994
173117305,12/31/2017,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,Q,104,0,18-24,M,BLACK,1013787.0,195967.0,40.70451983100002,-73.89347040299998
173116160,12/31/2017,904,"INTOXICATED DRIVING,ALCOHOL",119,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,Q,115,0,25-44,M,WHITE HISPANIC,1019944.0,214785.0,40.75614789400004,-73.87116417099996
173113522,12/31/2017,782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,23,0,18-24,M,BLACK,1001666.0,229217.0,40.79581483100003,-73.93710106499998
173116157,12/31/2017,511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,DANGEROUS DRUGS,PL 2200300,M,Q,104,0,45-64,M,WHITE,1013701.0,195936.0,40.70443503000007,-73.89378071399994
173124318,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,7,0,45-64,F,WHITE,988049.0,200071.0,40.71583281800008,-73.98629727799994
173116159,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,100,0,45-64,F,BLACK,1038797.0,153050.0,40.586603393000075,-73.80361413399999
173129128,12/31/2017,259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450001,M,M,18,0,25-44,M,BLACK HISPANIC,986034.0,216056.0,40.75970832900003,-73.99356176999999
173128431,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,M,34,0,25-44,M,WHITE HISPANIC,1006797.0,253850.0,40.863413741000045,-73.91848694699996
173127729,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,Q,106,0,25-44,F,WHITE HISPANIC,1038101.0,181874.0,40.665723292000045,-73.80588999999998
173127002,12/31/2017,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,M,23,0,45-64,M,BLACK,1000700.0,227655.0,40.79152941400002,-73.94059373699997
173123528,12/31/2017,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 1553001,F,M,14,0,25-44,M,WHITE HISPANIC,987220.0,212676.0,40.75043076800005,-73.98928217599996
173121851,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,52,0,25-44,M,WHITE HISPANIC,1014313.0,254123.0,40.864140648000046,-73.89131303799998
173121081,12/31/2017,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 1553004,F,K,90,0,25-44,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998
173120429,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,Q,106,0,45-64,M,BLACK,1033414.0,188276.0,40.68332257600008,-73.82273802599997
173120428,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,Q,103,0,45-64,M,BLACK,1045673.0,199466.0,40.71395984500003,-73.77843567099995
173120427,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,17,0,25-44,M,BLACK,992033.0,214074.0,40.754264999000036,-73.97190956199995
173120424,12/31/2017,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117,DANGEROUS DRUGS,PL 2201601,F,M,6,0,25-44,M,BLACK,984037.0,205508.0,40.730756883000026,-74.00076997599997
173120423,12/31/2017,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201500,M,K,67,0,45-64,M,BLACK,1003257.0,177086.0,40.65272464900005,-73.93150216299993
173119700,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,Q,103,0,25-44,M,BLACK HISPANIC,1041879.0,197084.0,40.707447364000075,-73.79214176799998
173117783,12/31/2017,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,B,44,0,25-44,M,WHITE HISPANIC,1008274.0,245226.0,40.83973953100008,-73.91317803199998
173116543,12/31/2017,244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,Q,106,0,<18,M,WHITE HISPANIC,1026310.0,186741.0,40.67914596100008,-73.84836140199997
173116539,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,105,0,25-44,F,WHITE HISPANIC,1057302.0,184509.0,40.672818144000075,-73.73664983699997
173116274,12/31/2017,244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,Q,106,0,<18,M,WHITE HISPANIC,1026285.0,187525.0,40.681297980000075,-73.84844664399996
173116152,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,1,0,25-44,M,BLACK,982383.0,198038.0,40.71025333400007,-74.00673572899994
173116146,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,25-44,F,BLACK,1023210.0,257960.0,40.874637248000056,-73.859124964
173115855,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,104,0,45-64,M,WHITE HISPANIC,1013640.0,206072.0,40.73225610200007,-73.89395646799994
173113527,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,105,0,25-44,M,BLACK,1054680.0,205284.0,40.72986167100004,-73.74588480299997
173129120,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2053000,M,B,43,0,25-44,M,WHITE HISPANIC,1017824.0,238944.0,40.822466113000075,-73.87869553399997
173129122,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,B,43,0,25-44,M,WHITE HISPANIC,1022022.0,240901.0,40.827820563000046,-73.86351678499993
173129126,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,78,0,45-64,F,BLACK,990287.0,184429.0,40.672897902000045,-73.97823813599996
173129247,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,B,42,2,<18,M,BLACK,1012076.0,239818.0,40.82488497200006,-73.89945993699997
173113521,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,M,19,1,25-44,F,WHITE HISPANIC,995369.0,221138.0,40.77365029300007,-73.95985695199995
173114444,12/31/2017,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456002,M,B,40,0,18-24,M,WHITE HISPANIC,1006075.0,236932.0,40.81698058400008,-73.92115225499998
173114460,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,M,24,0,25-44,M,BLACK,992586.0,227883.0,40.79216659000008,-73.96989644099993
173115841,12/31/2017,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456002,M,K,66,0,25-44,M,WHITE,990399.0,164172.0,40.61729672100006,-73.97785283799993
173115846,12/31/2017,567,"MARIJUANA, POSSESSION 4 & 5",235,DANGEROUS DRUGS,PL 2211500,M,K,79,0,25-44,M,BLACK,998034.0,188480.0,40.68400831000002,-73.95030201899993
